Year,Month,Material Description,Quantity
2018,8,"579/0 BRACKET,  REVERSE GEAR SHIFT",12000
2018,8,589/0 SPROCKET,4800
2018,8,590/0 PAWL,189500
2018,8,591/0 PAWL GEAR SHIFT,200000
2018,8,592/0 WHEEL STARTER,3600
2018,8,593/0 GEAR STARTER CLUTCH,10120
2018,8,"595/0 LOCK WASHER BEARING HUB, 6.5T P-II",10800
2018,8,602/0 SPROCKET CAM SHAFT-4.52 THK,32580
2018,8,605/0 COVER OIL PUMP,3608
2018,8,606/0 WHEEL STARTER,48000
2018,8,607/0 WHEEL  STARTER,37157
2018,8,614/0 SEGMENT,114020
2018,8,760/0 RETAINER PLATE,3200
2018,8,762/0 PRESSURE PLATE,3200
2018,8,764/1 PRESSURE PLATE(R/G),4000
2018,8,793/0 PLATE SYNC HUB,16000
2018,8,813/2 LEVER SHIFT - 1,28000
2018,8,814/2 LEVER SHIFT - 2,87000
2018,8,816/1 PLATE SHIFT DRUM STOPPER,499100
2018,8,820/3 HOLDER CLUTCH,41400
2018,8,863/0 PLATE CLUTCH,25800
2018,8,877/0 SPROCKET CAM,60025
2018,8,880/0 STOPR COMP.GR SHIFT DRUM,138525
2018,8,881/0 SPROCKET CAM,108240
2018,8,884/1 RATCHET PLATE,130000
2018,8,890/ plate clutch with out Planish.(k1),30000
2018,8,890/0 plate clutch with Planish.(k1),90000
2018,8,893/0 STOPPER LEVER ASSY.,87000
2018,8,895/0 LEVER SHIFT 1.,54000
2018,8,896/0 JAW FINGER VERTICAL,210000
2018,8,909/M MASTER ARM GEAR SHIFTER,180200
2018,8,914/0 SPROCKET  CAM,14880
2018,8,915/0 SPROCKET STARTING,260000
2018,8,918/M SPROCKET,45960
2018,8,919/M ASSLY REVERSE LEVER,9920
2018,8,920/0 LATCH,15000
2018,8,921/0 PLATE,50000
2018,8,"923/0 ,KEY PACKING",90000
2018,8,924/1 SPROCKET CAM,423600
2018,8,925/0 SPROCKET,38400
2018,8,930/0 KEY,30000
2018,8,935/0 STOPPER LEVER ASSY.,9000
2018,8,936/0 PLATE,60000
2018,8,937/0 SPACER WASHER,126000
2018,8,938/F PLATE VALVE FRONT 1W,16800
2018,8,938/R PLATE VALVE  REAR-1W,16800
2018,8,"941/0 Washer, 5th Sync Hub",39200
2018,8,"943/1 , STOPPER PLATE",4000
2018,8,945/0 STOPPER LEVER ASSY.,5400
2018,8,947/0 Stopper Comp Gear Shift Cam,10500
2018,8,949/0 STOPPER LEVER ASSY.,4000
2018,8,950/0 LEVER SHIFT 1,5000
2018,8,951/0 LEVER SHIFT 2,7500
2018,8,952/0 PLATE CLUTCH,45000
2018,8,EXP63 NABE,10000
2018,8,EXP64A NABE,5000
2018,9,037/A CONTACT FINGER,7250
2018,9,037/B CONTACT FINGER,50000
2018,9,1000/0 WHEEL STARTER,19500
2018,9,1003/0 FACE DRIVE,30040
2018,9,1005/0 GEAR STARTER CLUTCH,1056
2018,9,1007/0 STOPPER LEVER ASSY.,17500
2018,9,1012/0 GEAR STARTER CLUTCH,22032
2018,9,1013/F - F DISCHARGE VALVE PLATE 1W,6000
2018,9,1013/R - R DISCHARGE VALVE PLATE 1W,6000
2018,9,1015/0 GEAR STARTER CLUTCH,51140
2018,9,134/0 TRIPPING CAM,900
2018,9,162/0 VALVE SPRING DISC,10500
2018,9,256/1 CONTACT FINGER,55000
2018,9,337/4 HOLDER,171456
2018,9,487/0 PLATE VALVE INLET TS5,1110
2018,9,488/0 PLATE VALVE DISC TS5,1110
2018,9,490/0 PRESSURE PLATE 4.5MM,3000
2018,9,492/0 PRESSURE PLATE 6.5MM,8000
2018,9,"499/F1 F DISCHARGE VALVE PLATE, 1W",36000
2018,9,"499/R1 R DISCHARGE VALVE PLATE, 1W",36000
2018,9,500/0 THRUST WASHER,13200
2018,9,503/0 TONGUE SPACER,55000
2018,9,505/0 COUPLING,10000
